pop_group,energy,danceability,acousticness,valence
"(-0.001, 20.0]",0.506,0.533,0.456,0.427
"(20.0, 37.0]",0.538,0.547,0.41,0.427
"(37.0, 93.0]",0.59,0.587,0.341,0.469
